time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-04T00:44:46.440Z,13.7787,120.9868,142.35,4.4,mb,,154,0.325,0.62,us,us1000e20g,2018-07-27T20:20:31.040Z,"1km SSE of Bolo, Philippines",earthquake,14.4,10.9,0.19,8,reviewed,us,us
2018-04-25T16:09:06.040Z,13.5612,120.3738,56.17,4.4,mb,,126,0.766,0.32,us,us1000dw07,2018-07-25T21:36:44.040Z,"13km NNW of Harrison, Philippines",earthquake,11.6,9.4,0.149,13,reviewed,us,us
2018-02-15T15:43:47.720Z,15.4399,119.5322,19.53,4.5,mb,,101,1.901,0.84,us,us2000d70f,2018-05-15T06:29:08.040Z,"39km W of Palauig, Philippines",earthquake,7.4,5,0.084,42,reviewed,us,us
2018-02-09T06:54:32.110Z,13.9229,120.8467,122.31,4.3,mb,,114,0.198,0.69,us,us2000czcw,2018-05-03T22:15:05.040Z,"0km NNE of Sinisian, Philippines",earthquake,10,4.9,0.081,44,reviewed,us,us
2018-01-28T01:19:14.330Z,13.7056,121.0165,142.73,4.2,mb,,122,9.55,0.41,us,us2000cyxe,2018-04-20T07:05:32.040Z,"5km SW of Wawa, Philippines",earthquake,8.3,10.4,0.176,9,reviewed,us,us
2018-01-14T15:49:27.090Z,13.464,120.51,54.71,5.1,mb,,46,0.757,1.06,us,us2000cjii,2018-04-03T01:40:30.040Z,"7km NE of Paluan, Philippines",earthquake,8.1,6.6,0.058,96,reviewed,us,us
2018-01-14T15:20:29.170Z,13.4038,120.4435,35,4.9,mb,,46,0.843,0.7,us,us2000cjig,2018-04-03T01:40:30.040Z,"2km WSW of Paluan, Philippines",earthquake,7.4,2,0.075,55,reviewed,us,us
2017-12-26T11:30:20.380Z,14.5786,119.0202,10,4.3,mb,,74,1.916,0.9,us,us2000ci6w,2018-03-17T01:54:35.040Z,"120km WSW of San Nicolas, Philippines",earthquake,6.9,1.9,0.081,43,reviewed,us,us
2017-12-26T04:12:20.940Z,16.4155,121.1921,56.74,4.5,mb,,117,6.369,0.61,us,us2000ci6u,2018-03-17T01:54:35.040Z,"7km ENE of San Fernando, Philippines",earthquake,11.2,8.6,0.085,41,reviewed,us,us
2017-11-23T03:40:53.380Z,13.6156,120.5905,116.38,4.6,mb,,138,8.147,0.52,us,us1000bjt2,2018-02-14T02:01:11.040Z,"23km NW of Wawa, Philippines",earthquake,13.2,10.9,0.172,10,reviewed,us,us
2017-11-09T11:32:44.030Z,15.857,119.7721,77.26,4.5,mb,,139,2.076,0.67,us,us2000bqfy,2018-01-31T03:04:44.040Z,"11km S of Ilioilio, Philippines",earthquake,10.4,9.1,0.15,13,reviewed,us,us
